Name,System,Year,Platform,Genre,Publisher,Global_Sales,Critic_Score
Batman: Arkham Origins,XBOX,2013,X360,Action,Warner Bros. Interactive Entertainment,1.88,74
Mortal Kombat: Deception,PLAYSTATION,2004,PS2,Fighting,Midway Games,1.88,81
NBA 2K17,PLAYSTATION,2016,PS4,Sports,Take-Two Interactive,1.88,88
Madden NFL 25,PLAYSTATION,2013,PS3,Sports,Electronic Arts,1.87,76
Dynasty Warriors 3,PLAYSTATION,2001,PS2,Action,THQ,1.87,78
Madden NFL 06,XBOX,2005,XB,Sports,Electronic Arts,1.86,86
Shrek 2,PLAYSTATION,2004,PS2,Platform,Activision,1.86,71
The Legend of Dragoon,PLAYSTATION,1999,PS,Role-Playing,Sony Computer Entertainment,1.86,74
NBA Live 2002,PLAYSTATION,2001,PS2,Sports,Electronic Arts,1.86,70
Just Cause 3,PLAYSTATION,2015,PS4,Action,Square Enix,1.86,73
Chrono Cross,PLAYSTATION,1999,PS,Role-Playing,SquareSoft,1.86,94
Jak 3,PLAYSTATION,2004,PS2,Platform,Sony Computer Entertainment,1.85,84
Max Payne 3,PLAYSTATION,2012,PS3,Shooter,Take-Two Interactive,1.85,87
LEGO Marvel Super Heroes,PLAYSTATION,2013,PS3,Action,Warner Bros. Interactive Entertainment,1.84,82
NCAA Football 06,PLAYSTATION,2005,PS2,Sports,Electronic Arts,1.84,87
inFAMOUS 2,PLAYSTATION,2011,PS3,Action,Sony Computer Entertainment,1.82,83
Namco Museum,PLAYSTATION,2001,PS2,Misc,Namco Bandai Games,1.82,72
Demon's Souls,PLAYSTATION,2009,PS3,Role-Playing,Namco Bandai Games,1.82,89
The Orange Box,XBOX,2007,X360,Shooter,Electronic Arts,1.82,96
DDRMAX2: Dance Dance Revolution,PLAYSTATION,2003,PS2,Simulation,Konami Digital Entertainment,1.81,82
Virtua Fighter 4,PLAYSTATION,2002,PS2,Fighting,Sega,1.81,94
Mafia III,PLAYSTATION,2016,PS4,Action,Take-Two Interactive,1.81,68
Sly 2: Band of Thieves,PLAYSTATION,2004,PS2,Platform,Sony Computer Entertainment,1.81,88
Madden NFL 07,XBOX,2006,X360,Sports,Electronic Arts,1.8,80
NBA 2K11,PLAYSTATION,2010,PS3,Action,Take-Two Interactive,1.8,89
Forza Motorsport 6,XBOX,2015,XOne,Racing,Microsoft Game Studios,1.8,87
The Evil Within,PLAYSTATION,2014,PS4,Action,Bethesda Softworks,1.79,75
Midnight Club II,PLAYSTATION,2003,PS2,Racing,Take-Two Interactive,1.78,85
The Getaway: Black Monday,PLAYSTATION,2004,PS2,Action,Sony Computer Entertainment,1.78,57
50 Cent: Bulletproof,PLAYSTATION,2005,PS2,Action,Vivendi Games,1.77,47
Dead or Alive 3,XBOX,2001,XB,Fighting,Microsoft Game Studios,1.77,87
UFC 2009 Undisputed,PLAYSTATION,2009,PS3,Fighting,THQ,1.76,84
The SpongeBob SquarePants Movie,PLAYSTATION,2004,PS2,Platform,THQ,1.76,75
Def Jam: Fight for NY,PLAYSTATION,2004,PS2,Fighting,Electronic Arts,1.76,83
Tom Clancy's Ghost Recon,XBOX,2002,XB,Shooter,Ubisoft,1.76,84
State of Emergency,PLAYSTATION,2002,PS2,Action,Take-Two Interactive,1.76,71
The Urbz: Sims in the City,PLAYSTATION,2004,PS2,Simulation,Electronic Arts,1.76,70
